[1450846800] LOG ROTATION: DAILY
[1450846800] LOG VERSION: 2.0
[1450846800] CURRENT SERVICE STATE: lansweeper;C:\ Drive Space;OK;HARD;1;c:\ - total: 49.48 Gb - used: 26.75 Gb (54%) - free 22.74 Gb (46%)
[1450846800] CURRENT SERVICE STATE: lansweeper;CPU Load;OK;HARD;1;CPU Load 0% (5 min average)
[1450846800] CURRENT SERVICE STATE: lansweeper;Memory Usage;OK;HARD;1;Memory usage: total:4991.10 MB - used: 3861.52 MB (77%) - free: 1129.58 MB (23%)
[1450846800] CURRENT SERVICE STATE: lansweeper;NSClient++ Version;OK;HARD;1;NSClient++ 0.5.0.19 2015-12-10
[1450846800] CURRENT SERVICE STATE: lansweeper;Service: DNS Client;OK;HARD;1;Dnscache: Started
[1450846800] CURRENT SERVICE STATE: lansweeper;Service: Firewall;OK;HARD;1;MpsSvc: Started
[1450846800] CURRENT SERVICE STATE: lansweeper;Service: Group Policy;OK;HARD;1;gpsvc: Started
[1450846800] CURRENT SERVICE STATE: lansweeper;Service: NetLogin;OK;HARD;1;Netlogon: Started
[1450846800] CURRENT SERVICE STATE: lansweeper;Service: RPC;OK;HARD;1;RpcSs: Started
[1450846800] CURRENT SERVICE STATE: lansweeper;Service: User Profile;OK;HARD;1;ProfSvc: Started
[1450846800] CURRENT SERVICE STATE: lansweeper;Service: WMI;OK;HARD;1;Winmgmt: Started
[1450846800] CURRENT SERVICE STATE: lansweeper;Service: Windows Time;OK;HARD;1;W32Time: Started
[1450846800] CURRENT SERVICE STATE: lansweeper;Uptime;OK;HARD;1;System Uptime - 0 day(s) 10 hour(s) 39 minute(s)
[1450846800] CURRENT SERVICE STATE: localhost;Current Load;UNKNOWN;HARD;4;Usage:
[1450846800] CURRENT SERVICE STATE: localhost;Current Users;OK;HARD;1;USERS OK - 3 users currently logged in
[1450846800] CURRENT SERVICE STATE: localhost;HTTP;WARNING;HARD;4;HTTP WARNING: HTTP/1.1 403 Forbidden - 1336 bytes in 0.001 second response time
[1450846800] CURRENT SERVICE STATE: localhost;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.05 ms
[1450846800] CURRENT SERVICE STATE: localhost;Root Partition;OK;HARD;1;DISK OK - free space: / 69322 MB (92% inode=95%):
[1450846800] CURRENT SERVICE STATE: localhost;SSH;OK;HARD;1;SSH OK - OpenSSH_6.6.1 (protocol 2.0)
[1450846800] CURRENT SERVICE STATE: localhost;Swap Usage;OK;HARD;1;SWAP OK - 100% free (2053 MB out of 2053 MB)
[1450846800] CURRENT SERVICE STATE: localhost;Total Processes;OK;HARD;1;PROCS OK: 76 processes with STATE = RSZDT
[1450846954] SERVICE NOTIFICATION: nagiosadmin;localhost;Current Load;UNKNOWN;notify-service-by-email;Usage:
[1450847397] SERVICE ALERT: lansweeper;Memory Usage;WARNING;SOFT;1;Memory usage: total:4991.10 MB - used: 4031.57 MB (81%) - free: 959.53 MB (19%)
[1450847517] SERVICE ALERT: lansweeper;Memory Usage;WARNING;SOFT;2;Memory usage: total:4991.10 MB - used: 4050.31 MB (81%) - free: 940.79 MB (19%)
[1450847637] SERVICE ALERT: lansweeper;Memory Usage;WARNING;HARD;3;Memory usage: total:4991.10 MB - used: 4060.76 MB (81%) - free: 930.34 MB (19%)
[1450847637] SERVICE NOTIFICATION: nagiosadmin;lansweeper;Memory Usage;WARNING;notify-service-by-email;Memory usage: total:4991.10 MB - used: 4060.76 MB (81%) - free: 930.34 MB (19%)
